user_id,content_id,action,timestamp,device,region,session_id
147,1005,forward,2023-09-01 01:51:07,desktop,APAC,1977561d
136,1009,pause,2023-09-01 02:48:45,mobile,EU,2ccc079c
179,1000,skip,2023-09-01 17:48:04,mobile,APAC,f5a2c3c3
134,1006,skip,2023-09-01 22:32:25,desktop,EU,b0a24023
113,1004,pause,2023-09-01 01:15:48,desktop,US,3eaa2a2f
160,1010,forward,2023-09-01 09:18:33,tablet,APAC,1331a3ca
187,1006,play,2023-09-01 08:22:52,desktop,EU,4fb665e2
192,1007,pause,2023-09-01 22:59:45,mobile,APAC,acaf1014
152,1002,forward,2023-09-01 19:49:06,mobile,APAC,d128351d
112,1010,play,2023-09-01 08:13:22,tablet,US,3216b059
199,1009,play,2023-09-01 12:51:40,desktop,US,74ef725c
121,1002,skip,2023-09-01 13:11:08,desktop,US,76370519
172,1005,skip,2023-09-01 19:34:08,desktop,APAC,d6233166
113,1010,forward,2023-09-01 23:58:40,tablet,EU,6a5a6bb9
186,1005,forward,2023-09-01 05:55:20,desktop,APAC,c14029d6
126,1003,play,2023-09-01 07:08:02,mobile,EU,67fdcc36
144,1002,skip,2023-09-01 04:37:22,tablet,EU,d5df4f2f
109,1008,skip,2023-09-01 06:54:42,mobile,APAC,b07ad2c4
170,1006,forward,2023-09-01 00:30:06,mobile,APAC,474c1d61
112,1007,play,2023-09-01 06:32:27,mobile,EU,a26fc909
152,1005,play,2023-09-02 22:07:50,tablet,EU,fb0c92a6
196,1000,pause,2023-09-02 04:02:11,tablet,APAC,8ddebbbc
197,1004,play,2023-09-02 03:23:49,mobile,US,422e524d
100,1008,forward,2023-09-02 21:34:05,tablet,APAC,f5bd6f80
104,1003,skip,2023-09-02 03:57:06,mobile,US,a0d072a9
122,1000,forward,2023-09-02 02:13:29,mobile,US,c2948f3e
192,1006,pause,2023-09-02 09:51:20,mobile,EU,4e72205a
122,1009,skip,2023-09-02 20:11:23,tablet,EU,e7e9d951
127,1008,skip,2023-09-02 09:04:17,tablet,EU,ae09b9b9
141,1000,pause,2023-09-02 23:13:11,desktop,EU,4eb59501
130,1009,play,2023-09-02 16:04:28,mobile,APAC,99f60f64
108,1010,pause,2023-09-02 15:18:51,desktop,US,76096f15
183,1004,play,2023-09-02 20:33:24,mobile,EU,1fed67e0
138,1005,play,2023-09-02 04:06:49,tablet,APAC,b8222660
118,1006,pause,2023-09-02 21:33:51,mobile,EU,77cc9792
133,1002,pause,2023-09-02 19:44:05,mobile,US,224bae4f
123,1003,forward,2023-09-02 15:58:51,mobile,APAC,6d490077
127,1003,skip,2023-09-02 14:35:50,desktop,EU,4947eddf
130,1000,forward,2023-09-02 15:08:00,desktop,APAC,99f60f64
143,1005,pause,2023-09-02 23:19:15,mobile,APAC,91240282
177,1002,skip,2023-09-03 14:34:47,desktop,APAC,0383e93b
111,1006,forward,2023-09-03 22:01:48,tablet,APAC,4d14fe60
112,1002,play,2023-09-03 15:42:09,desktop,US,b6b693ce
156,1007,pause,2023-09-03 09:46:47,desktop,EU,1297b687
112,1010,forward,2023-09-03 19:23:40,desktop,EU,4be1ef21
129,1010,forward,2023-09-03 18:10:58,tablet,EU,6d864022
137,1005,pause,2023-09-03 10:13:41,mobile,APAC,00a1d962
128,1002,play,2023-09-03 12:21:16,tablet,EU,23c4c352
170,1001,play,2023-09-03 17:13:59,mobile,US,aa3ca534
139,1008,forward,2023-09-03 01:11:13,mobile,APAC,534ebf2f
126,1000,forward,2023-09-03 05:25:25,desktop,APAC,f3831c01
168,1008,play,2023-09-03 11:14:53,desktop,US,b1fe685f
160,1006,forward,2023-09-03 17:59:36,tablet,APAC,793650e7
140,1007,pause,2023-09-03 02:37:24,mobile,US,a23d09cd
107,1003,skip,2023-09-03 20:53:28,mobile,EU,00e730e0
174,1006,pause,2023-09-03 10:07:08,tablet,US,b3fc0295
130,1004,skip,2023-09-03 10:37:06,desktop,EU,585492ae
136,1007,play,2023-09-03 09:33:23,mobile,APAC,370c9a95
100,1006,skip,2023-09-03 12:05:11,mobile,US,12f3b4f6
113,1010,play,2023-09-03 05:42:09,mobile,APAC,167ff0c3
154,1008,skip,2023-09-04 02:04:03,mobile,APAC,17c8e6c8
175,1010,forward,2023-09-04 18:43:29,mobile,APAC,6d02029d
112,1002,play,2023-09-04 20:13:39,desktop,US,a7ca6e4d
183,1010,skip,2023-09-04 08:38:10,desktop,US,ac856783
135,1009,play,2023-09-04 01:44:53,tablet,EU,d4bfa53b
133,1006,forward,2023-09-04 09:29:42,tablet,APAC,e4244ecd
126,1008,pause,2023-09-04 20:07:41,tablet,US,b167729e
167,1005,forward,2023-09-04 05:00:50,desktop,APAC,e36bde57
135,1007,pause,2023-09-04 18:17:37,tablet,US,3840ed15
176,1004,play,2023-09-04 00:09:00,desktop,EU,82d07921
124,1005,pause,2023-09-04 06:16:31,mobile,APAC,397a475c
152,1007,play,2023-09-04 04:48:28,desktop,APAC,ea08e130
161,1003,pause,2023-09-04 00:41:01,desktop,US,1021e2ea
149,1000,forward,2023-09-04 02:59:37,tablet,EU,b82dd5e1
164,1010,pause,2023-09-04 04:16:27,tablet,APAC,504ad5fa
109,1007,skip,2023-09-04 00:19:23,mobile,US,f13db195
169,1002,skip,2023-09-04 12:40:44,mobile,APAC,73c080d7
105,1002,play,2023-09-04 11:22:47,tablet,US,de804870
101,1008,play,2023-09-04 17:37:45,desktop,APAC,954626ec
167,1002,play,2023-09-04 19:37:50,mobile,EU,c31f11fa
135,1010,play,2023-09-05 17:35:44,mobile,EU,eeb30fcc
116,1001,forward,2023-09-05 21:18:27,desktop,APAC,1f7495a3
177,1008,play,2023-09-05 16:00:19,desktop,US,11bc4411
106,1001,skip,2023-09-05 08:46:24,desktop,EU,8d1dd87d
159,1006,skip,2023-09-05 17:55:01,mobile,EU,dfc22063
100,1000,skip,2023-09-05 16:52:42,tablet,US,4b598c21
191,1005,pause,2023-09-05 21:37:52,desktop,US,5c5fae19
147,1008,skip,2023-09-05 05:53:32,mobile,EU,41a6d223
154,1007,play,2023-09-05 16:23:25,desktop,EU,415a7684
151,1008,skip,2023-09-05 18:19:52,mobile,EU,b7166106
110,1002,forward,2023-09-05 23:43:35,desktop,US,6706ee01
101,1010,pause,2023-09-05 17:36:07,mobile,EU,7457b236
105,1004,play,2023-09-05 16:14:32,mobile,US,828a63d1
194,1006,pause,2023-09-05 14:55:52,desktop,US,738a06d0
185,1006,forward,2023-09-05 01:37:21,desktop,EU,61abc7e6
166,1000,forward,2023-09-05 17:15:00,mobile,EU,101661f5
106,1010,forward,2023-09-05 04:32:37,mobile,EU,fe354506
195,1000,forward,2023-09-05 13:10:18,mobile,APAC,74a43051
153,1007,pause,2023-09-05 14:49:11,mobile,APAC,2d76ca3f
171,1000,forward,2023-09-05 21:34:30,mobile,US,a93b7b15
176,1003,pause,2023-09-06 01:37:07,tablet,US,430086f7
147,1002,pause,2023-09-06 16:19:42,mobile,EU,cd73a5d4
111,1003,pause,2023-09-06 16:25:13,mobile,US,e3d9c54f
102,1002,skip,2023-09-06 12:23:52,mobile,EU,1df7a5df
165,1009,forward,2023-09-06 21:07:53,tablet,EU,e2111947
113,1009,pause,2023-09-06 12:39:44,mobile,EU,f8595376
145,1002,forward,2023-09-06 14:29:04,desktop,EU,508064cd
130,1005,play,2023-09-06 13:14:13,desktop,US,16d07b61
167,1000,skip,2023-09-06 08:16:31,tablet,US,a0e22c79
165,1000,forward,2023-09-06 03:49:40,tablet,US,16d86bb1
104,1001,pause,2023-09-06 11:53:25,desktop,US,2085f49d
179,1006,skip,2023-09-06 08:50:35,desktop,EU,60d42e3a
185,1001,skip,2023-09-06 23:52:34,desktop,US,0153486b
143,1009,forward,2023-09-06 08:40:34,tablet,EU,953781fa
151,1005,play,2023-09-06 11:18:53,desktop,EU,0defeaec
197,1000,pause,2023-09-06 18:04:50,tablet,US,e0803fbf
124,1001,forward,2023-09-06 04:55:28,tablet,EU,11c1b924
193,1003,skip,2023-09-06 18:29:50,tablet,APAC,100c8d0a
129,1008,play,2023-09-06 13:04:05,mobile,EU,4f46d51e
137,1003,forward,2023-09-06 01:30:03,tablet,APAC,f432b554
165,1009,play,2023-09-07 16:02:42,tablet,EU,3bef01c4
118,1010,pause,2023-09-07 13:32:23,desktop,APAC,6c666b44
197,1003,skip,2023-09-07 14:58:48,tablet,US,09312db5
174,1007,skip,2023-09-07 16:03:39,desktop,EU,fb3ef397
199,1010,pause,2023-09-07 00:44:59,tablet,EU,28a7534b
112,1007,forward,2023-09-07 10:29:52,tablet,APAC,848a4f6e
189,1004,pause,2023-09-07 08:53:05,tablet,APAC,4b40170a
171,1004,pause,2023-09-07 19:10:29,tablet,APAC,37629965
115,1009,skip,2023-09-07 23:40:16,mobile,EU,1ae149f1
188,1003,play,2023-09-07 13:57:39,tablet,APAC,dc6bb477
129,1000,play,2023-09-07 07:11:13,mobile,EU,b3883112
125,1002,play,2023-09-07 23:47:46,mobile,APAC,076acb65
136,1010,forward,2023-09-07 10:26:24,mobile,APAC,ebbf033e
182,1003,skip,2023-09-07 07:14:18,mobile,US,63e2ff43
168,1005,forward,2023-09-07 21:03:01,tablet,APAC,489e109b
132,1007,skip,2023-09-07 04:22:40,tablet,APAC,a3b510e1
195,1006,skip,2023-09-07 12:02:24,mobile,US,476c8f69
163,1005,pause,2023-09-07 20:50:20,desktop,EU,8b3d3098
124,1001,pause,2023-09-07 17:34:27,desktop,EU,122b4658
134,1008,skip,2023-09-07 14:03:37,desktop,US,eca913db
